State,GL_Premium_Low,GL_Premium_High,GL_Savings,GL_Competitiveness,WC_Class_1,WC_Rate_1,WC_Label_1,WC_Class_2,WC_Rate_2,WC_Label_2
AL,1.2,2.3,32.3,90,5437,6.14,Interior,5645,14.07,Framing
AK,0.8,1.6,22.6,0,5437,6.16,Interior,5645,9.78,Framing
AZ,0.9,2.1,50.6,30,5437,4.05,Interior,5645,10.17,Framing
AR,1.3,2.7,23.6,30,5437,3.26,Interior,5645,6.33,Framing
CA,1.6,3.0,18.2,10,5437,5.62,Interior,5645,8.46,Framing
CO,1.3,2.9,36.0,20,5437,4.74,Interior,5645,7.4,Framing
CT,1.7,2.7,24.0,30,5437,7.86,Interior,5645,17.17,Framing
DE,1.2,2.6,36.4,10,5437,5.0,Interior,5645,9.06,Framing
FL,1.3,2.9,43.5,80,5437,6.23,Interior,5645,12.61,Framing
GA,1.0,1.9,35.5,90,5437,8.98,Interior,5645,43.42,Framing
HI,0.9,1.6,34.3,0,5437,6.03,Interior,5645,10.6,Framing
ID,1.0,1.9,35.0,30,5437,6.58,Interior,5645,12.93,Framing
IL,1.4,3.1,37.3,70,5437,9.75,Interior,5645,19.23,Framing
IN,1.4,2.7,33.3,30,5437,2.83,Interior,5645,5.56,Framing
IA,0.6,1.6,40.6,90,5437,5.71,Interior,5645,9.65,Framing
KS,1.1,1.8,27.8,30,5437,4.55,Interior,5645,10.53,Framing
KY,0.7,2.1,58.6,20,5437,3.87,Interior,5645,9.81,Framing
LA,3.1,6.5,43.2,10,5437,9.6,Interior,5645,17.76,Framing
ME,0.8,1.7,42.3,30,5437,6.61,Interior,5645,10.58,Framing
MD,0.7,1.6,45.5,90,5437,5.5,Interior,5645,7.23,Framing
MA,1.1,2.1,32.2,30,5437,4.19,Interior,5645,6.93,Framing
MI,1.1,1.9,23.1,30,5437,5.66,Interior,5645,10.27,Framing
MN,1.3,2.3,19.5,30,5437,11.75,Interior,5645,11.44,Framing
MS,1.6,2.6,24.3,30,5437,6.14,Interior,5645,9.19,Framing
MO,0.7,1.8,53.3,30,5437,5.96,Interior,5645,12.48,Framing
MT,1.3,2.4,36.9,30,5437,6.91,Interior,5645,9.85,Framing
NE,1.2,1.7,13.0,70,5437,4.91,Interior,5645,9.15,Framing
NV,1.7,3.0,25.8,20,5437,4.8,Interior,5645,7.89,Framing
NH,1.1,2.2,37.6,30,5437,6.79,Interior,5645,9.54,Framing
NJ,2.5,3.3,14.2,80,5437,11.44,Interior,5645,17.09,Framing
NM,1.5,2.8,30.5,30,5437,5.93,Interior,5645,12.78,Framing
NY,2.9,3.7,14.4,0,5437,9.5,Interior,5645,11.47,Framing
NC,0.5,1.5,56.5,80,5437,5.48,Interior,5645,16.73,Framing
ND,1.2,1.9,22.1,30,5437,3.73,Interior,5645,3.51,Framing
OH,1.0,1.7,27.5,80,5437,3.32,Interior,5645,4.59,Framing
OK,1.3,2.1,13.3,30,5437,6.37,Interior,5645,13.8,Framing
OR,1.0,2.9,50.9,20,5437,2.5,Interior,5645,6.7,Framing
PA,1.9,2.7,15.8,70,5437,7.06,Interior,5645,9.5,Framing
RI,2.1,2.8,11.1,20,5437,8.14,Interior,5645,9.03,Framing
SC,1.2,3.7,59.6,90,5437,8.26,Interior,5645,21.48,Framing
SD,1.8,2.8,11.0,30,5437,5.71,Interior,5645,10.29,Framing
TN,0.5,1.5,58.1,100,5437,3.93,Interior,5645,12.84,Framing
TX,1.0,2.7,44.3,100,5437,3.55,Interior,5645,4.39,Framing
UT,1.3,2.1,22.2,80,5437,4.39,Interior,5645,9.9,Framing
VT,0.8,1.7,41.9,10,5437,7.55,Interior,5645,11.5,Framing
VA,0.6,1.0,30.0,80,5437,5.46,Interior,5645,9.73,Framing
WA,1.4,2.6,31.0,10,5437,4.67,Interior,5645,8.2,Framing
WV,1.3,3.1,15.6,20,5437,2.74,Interior,5645,5.72,Framing
WI,1.6,2.1,14.0,20,5437,10.03,Interior,5645,13.07,Framing
WY,1.0,1.7,31.1,30,5437,3.48,Interior,5645,4.31,Framing
