State,GL_Premium_Low,GL_Premium_High,GL_Savings,GL_Competitiveness,WC_Class_1,WC_Rate_1,WC_Label_1,WC_Class_2,WC_Rate_2,WC_Label_2
AL,0.4,1.1,38.6,90,5190,3.56,,,0,
AK,0.4,0.6,10.0,0,5190,2.81,,,0,
AZ,0.6,0.9,10.8,20,5190,2.61,,,0,
AR,0.5,0.9,23.7,50,5190,1.33,,,0,
CA,0.8,2.1,22.4,10,5190,2.86,,,0,
CO,0.3,1.1,62.2,20,5190,1.85,,,0,
CT,0.8,1.3,25.0,50,5190,3.54,,,0,
DE,0.6,1.1,21.3,30,5190,3.0,,,0,
FL,0.7,1.5,19.3,10,5190,4.13,,,0,
GA,0.5,1.1,47.7,100,5190,3.25,,,0,
HI,0.3,0.6,42.3,0,5190,3.97,,,0,
ID,0.3,0.8,46.9,50,5190,3.09,,,0,
IL,0.8,1.4,26.9,30,5190,2.57,,,0,
IN,0.6,1.0,21.4,50,5190,1.37,,,0,
IA,0.5,0.9,19.4,50,5190,3.74,,,0,
KS,0.6,0.9,23.1,50,5190,1.95,,,0,
KY,0.7,1.1,9.8,20,5190,2.12,,,0,
LA,0.6,2.1,60.7,10,5190,3.6,,,0,
ME,0.5,0.9,21.6,30,5190,2.24,,,0,
MD,0.3,0.8,51.7,90,5190,2.99,,,0,
MA,0.5,1.0,26.2,50,5190,3.24,,,0,
MI,0.5,0.9,26.3,30,5190,1.96,,,0,
MN,0.4,1.0,41.9,80,5190,3.92,,,0,
MS,0.5,1.1,42.6,50,5190,3.28,,,0,
MO,0.6,1.1,26.1,50,5190,2.55,,,0,
MT,0.4,1.2,58.8,30,5190,3.12,,,0,
NE,0.5,0.9,30.6,50,5190,2.7,,,0,
NV,0.5,1.3,27.1,10,5190,1.9,,,0,
NH,0.6,1.0,12.5,50,5190,3.46,,,0,
NJ,0.9,1.7,41.3,80,5190,4.98,,,0,
NM,0.7,1.1,16.3,30,5190,3.17,,,0,
NY,1.7,3.1,41.1,0,5190,6.55,,,0,
NC,0.2,0.7,57.1,80,5190,3.14,,,0,
ND,0.6,1.1,27.9,40,5190,1.35,,,0,
OH,0.4,0.8,29.4,80,5190,1.96,,,0,
OK,0.3,1.2,58.3,40,5190,3.18,,,0,
OR,0.5,1.0,20.5,80,5190,1.16,,,0,
PA,0.8,1.5,36.5,40,5190,2.97,,,0,
RI,0.7,1.3,35.1,80,5190,2.83,,,0,
SC,0.6,1.8,59.4,100,5190,3.94,,,0,
SD,0.6,1.3,35.2,40,5190,3.24,,,0,
TN,0.3,0.9,52.9,100,5190,2.52,,,0,
TX,0.6,1.3,26.0,50,5190,2.5,,,0,
UT,0.6,0.9,23.1,40,5190,1.82,,,0,
VT,0.4,0.9,29.4,10,5190,3.5,,,0,
VA,0.2,0.7,52.0,90,5190,2.01,,,0,
WA,0.3,1.2,43.5,10,5190,2.18,,,0,
WV,0.5,1.2,27.7,40,5190,1.3,,,0,
WI,0.5,0.9,27.9,40,5190,3.39,,,0,
WY,0.5,0.9,14.7,10,5190,2.01,,,0,
