State,GL_Premium_Low,GL_Premium_High,GL_Savings,GL_Competitiveness,WC_Class_1,WC_Rate_1,WC_Label_1,WC_Class_2,WC_Rate_2,WC_Label_2
AL,0.5,1.6,36.7,100,5537,4.88,,,0,
AK,1.2,1.7,18.7,0,5537,3.98,,,0,
AZ,0.3,1.7,44.0,10,5537,3.41,,,0,
AR,0.4,1.9,33.7,60,5537,2.14,,,0,
CA,0.7,1.7,30.2,10,5537,4.22,,,0,
CO,0.5,2.1,41.0,40,5537,2.88,,,0,
CT,0.3,2.3,35.1,20,5537,5.14,,,0,
DE,0.7,2.3,29.7,20,5537,4.29,,,0,
FL,0.6,2.6,45.7,10,5537,4.63,,,0,
GA,0.3,1.6,41.9,50,5537,5.03,,,0,
HI,0.3,1.5,53.3,0,5537,4.17,,,0,
ID,0.5,1.6,23.0,40,5537,4.62,,,0,
IL,0.9,2.7,22.4,60,5537,5.19,,,0,
IN,0.7,1.9,33.7,60,5537,2.25,,,0,
IA,0.3,1.5,27.8,20,5537,4.31,,,0,
KS,0.3,1.9,37.6,40,5537,2.73,,,0,
KY,0.8,2.8,30.1,20,5537,2.82,,,0,
LA,0.6,3.7,47.4,10,5537,6.08,,,0,
ME,0.6,1.9,22.7,40,5537,5.14,,,0,
MD,0.5,1.6,32.4,90,5537,3.22,,,0,
MA,0.7,1.7,52.0,20,5537,4.24,,,0,
MI,0.3,1.4,64.1,60,5537,3.25,,,0,
MN,0.4,1.9,63.8,50,5537,4.79,,,0,
MS,0.3,2.2,42.3,20,5537,3.22,,,0,
MO,0.4,1.7,39.2,60,5537,4.74,,,0,
MT,0.4,2.1,37.8,60,5537,5.02,,,0,
NE,0.3,1.5,40.0,40,5537,4.54,,,0,
NV,0.8,2.2,22.8,20,5537,3.63,,,0,
NH,0.8,2.7,31.5,60,5537,5.1,,,0,
NJ,0.9,3.3,29.6,80,5537,6.56,,,0,
NM,0.6,2.1,46.1,10,5537,4.56,,,0,
NY,1.8,6.9,29.5,0,5537,8.16,,,0,
NC,0.3,1.8,56.3,90,5537,4.49,,,0,
ND,0.5,1.9,14.9,60,5537,1.59,,,0,
OH,0.4,1.9,35.2,50,5537,2.12,,,0,
OK,0.3,1.5,42.3,60,5537,4.4,,,0,
OR,0.7,2.1,33.3,80,5537,1.75,,,0,
PA,0.6,2.5,21.2,20,5537,3.91,,,0,
RI,0.8,2.2,43.0,50,5537,4.88,,,0,
SC,0.5,2.4,57.9,90,5537,5.11,,,0,
SD,0.5,2.5,31.1,60,5537,3.97,,,0,
TN,0.3,1.7,51.9,100,5537,2.59,,,0,
TX,0.6,1.9,44.7,100,5537,2.56,,,0,
UT,0.5,2.4,27.3,80,5537,2.71,,,0,
VT,0.6,2.1,43.9,20,5537,5.85,,,0,
VA,0.5,1.4,45.5,90,5537,2.97,,,0,
WA,0.3,2.1,60.4,10,5537,3.72,,,0,
WV,0.7,2.3,52.8,20,5537,2.04,,,0,
WI,0.6,2.3,56.3,50,5537,4.39,,,0,
WY,0.3,2.1,27.0,90,5537,3.48,,,0,
