State,GL_Premium_Low,GL_Premium_High,GL_Savings,GL_Competitiveness,WC_Class_1,WC_Rate_1,WC_Label_1,WC_Class_2,WC_Rate_2,WC_Label_2
AL,0.4,1.1,48.9,90,9102,2.84,Lawncare,,0,
AK,0.4,1.0,25.8,0,9102,3.69,Lawncare,,0,
AZ,0.2,0.7,64.3,80,9102,1.9,Lawncare,,0,
AR,0.2,0.7,66.7,80,9102,1.52,Lawncare,,0,
CA,0.7,1.5,46.4,10,9102,0.01,Lawncare,,0,
CO,0.6,1.1,21.4,20,9102,2.03,Lawncare,,0,
CT,0.8,1.8,37.7,20,9102,3.29,Lawncare,,0,
DE,0.3,1.6,68.9,80,9102,3.53,Lawncare,,0,
FL,0.5,1.1,37.0,60,9102,3.62,Lawncare,,0,
GA,0.2,0.9,64.7,100,9102,3.86,Lawncare,,0,
HI,1.1,1.3,13.8,0,9102,0.01,Lawncare,,0,
ID,0.4,0.8,25.8,20,9102,3.91,Lawncare,,0,
IL,1.3,2.0,20.5,20,9102,3.34,Lawncare,,0,
IN,0.6,1.0,21.4,20,9102,2.38,Lawncare,,0,
IA,0.4,0.7,26.7,20,9102,3.56,Lawncare,,0,
KS,0.4,0.8,32.4,20,9102,2.45,Lawncare,,0,
KY,0.2,0.8,67.9,70,9102,1.91,Lawncare,,0,
LA,0.4,1.9,69.2,70,9102,4.08,Lawncare,,0,
ME,0.5,0.9,20.0,20,9102,4.29,Lawncare,,0,
MD,0.2,0.7,59.3,80,9102,2.26,Lawncare,,0,
MA,0.6,1.1,17.8,20,9102,2.2,Lawncare,,0,
MI,0.6,0.9,18.9,20,9102,2.48,Lawncare,,0,
MN,0.4,0.7,32.3,60,9102,3.71,Lawncare,,0,
MS,0.4,1.4,56.1,20,9102,2.87,Lawncare,,0,
MO,0.5,0.9,24.3,20,9102,3.66,Lawncare,,0,
MT,0.5,1.1,42.6,20,9102,4.02,Lawncare,,0,
NE,0.4,0.9,45.7,20,9102,3.33,Lawncare,,0,
NV,0.8,1.7,33.8,10,9102,3.08,Lawncare,,0,
NH,0.6,1.3,38.6,20,9102,3.6,Lawncare,,0,
NJ,0.6,2.3,63.0,80,9102,5.22,Lawncare,,0,
NM,0.5,1.1,27.3,70,9102,2.85,Lawncare,,0,
NY,1.5,6.4,62.2,0,9102,3.99,Lawncare,,0,
NC,0.2,0.8,65.5,60,9102,3.2,Lawncare,,0,
ND,0.5,0.9,31.6,20,9102,1.45,Lawncare,,0,
OH,0.3,0.7,33.3,60,9102,2.54,Lawncare,,0,
OK,0.4,0.8,24.2,20,9102,2.77,Lawncare,,0,
OR,0.4,0.8,34.5,70,9102,1.69,Lawncare,,0,
PA,0.6,1.7,45.1,70,9102,2.02,Lawncare,,0,
RI,0.6,1.6,39.7,60,9102,4.06,Lawncare,,0,
SC,0.3,1.1,65.9,90,9102,3.12,Lawncare,,0,
SD,0.6,1.1,27.3,70,9102,2.8,Lawncare,,0,
TN,0.3,0.9,57.9,90,9102,2.24,Lawncare,,0,
TX,0.2,0.9,70.6,100,9102,1.95,Lawncare,,0,
UT,0.2,0.9,69.4,90,9102,2.12,Lawncare,,0,
VT,0.2,0.7,66.7,10,9102,4.2,Lawncare,,0,
VA,0.2,0.7,54.2,80,9102,2.31,Lawncare,,0,
WA,0.3,1.1,43.9,10,9102,2.33,Lawncare,,0,
WV,0.4,1.3,45.8,10,9102,1.45,Lawncare,,0,
WI,0.4,1.0,24.4,10,9102,2.7,Lawncare,,0,
WY,0.4,0.7,30.0,10,9102,3.04,Lawncare,,0,
